X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
-13.064077,39.60437,1.6048983,15.111555,-25.89295,-16.018253,-12.284147,-10.061522,-5.8092794,9.470128,3.3784091,-3.7820456,-3.9648173,-2.3975105,0.17703298,-6.643414,4.1502395,-4.8745008,11.76695,-15.407895,2.713766,-12.696741,3.6500037,-7.211185,-4.7588634,0.15318705,-8.514486,5.0206685,6.97769,13.518071,-8.557613,4.2336063,-9.744035,-5.4044304,0.71757936,-4.4181876,4.71021,0.97525424,-9.808497,-2.876037,2.3156772,8.284894,7.340531,-2.9614341,2.3018897,6.140696,-5.2181745,-4.027991,-2.2475708,7.409325,9.126003,1.8392442
48.334618,197.30658,-10.306327,-5.2394753,36.73816,30.993517,-11.28385,-17.62018,10.36108,32.605495,40.776722,-17.27769,-0.019058123,-24.276802,-23.95176,-1.0532023,5.7344046,-21.562927,20.870304,17.846601,-6.1417603,-2.2912865,-16.43175,-16.817682,-26.18349,-11.280649,23.450235,21.898209,5.1060033,38.724865,8.089124,7.0874357,-3.0971558,12.726206,-17.717014,-6.509459,17.8222,10.881441,-4.459943,1.9706905,-0.6361282,-1.5582442,-5.4772067,5.4702444,-0.26266432,-5.1874576,-1.8688506,-14.059943,-7.377637,7.183682,8.792707,-1.0839933
7.271343,79.56255,87.01476,-11.336247,44.66095,-9.39187,46.015144,25.42634,-29.04046,-11.727949,22.146744,-3.747833,-8.279203,12.737293,9.3726,3.886687,-2.050422,-1.7869068,8.768994,18.438343,-3.5329564,-2.7391734,1.6177925,-6.363405,2.1275392,2.8993366,15.902442,-17.648611,-12.471684,-6.4046535,-13.952244,-1.6220704,-3.5931783,4.758553,-2.7712839,-8.333671,-7.0602264,-4.864708,-7.8691583,-8.71288,6.470273,9.489688,-1.7482862,9.00876,14.685459,-4.1913805,-7.5984225,-7.442411,-5.226994,-4.9324903,14.904625,2.9569838
101.24807,-62.09255,1.7885022,10.121506,-23.159649,19.747726,-2.9275596,36.399982,-32.641186,-13.073557,12.998899,3.020661,6.1110625,14.511436,-6.244284,1.6011167,7.6376543,6.1026216,-1.1894245,4.8871665,6.01962,-6.033979,-1.704846,2.379338,1.472867,1.374575,-0.6272543,7.0435586,5.558154,-3.572597,6.4449015,-0.681498,0.5393543,-4.570689,-2.995258,-1.205037,-0.97696716,5.0448933,-3.5317771,-1.6092875,1.6969472,2.7700229,6.245983,-3.1533628,-6.767796,1.7658603,-1.3456557,-0.10183025,3.1101038,-2.2924159,-0.69231266,5.2787004
-51.23287,-89.20598,8.749766,25.339922,-11.548204,0.7236489,2.1291234,-8.44877,10.42216,-2.7776015,-5.378553,9.2993355,-2.6112585,26.567602,-2.7400818,23.166733,1.8648114,1.7084106,0.62190956,4.8702474,-4.855888,-1.2910529,3.2696228,-4.7326465,1.9574457,2.483514,0.32045668,-0.24833332,-1.409814,-1.493698,1.6038198,2.6095135,-3.1175256,2.8428588,4.3201804,2.1165762,-0.47123057,1.5906541,-2.7257495,-0.8472676,3.6491642,-3.62044,0.76395226,2.9269,2.8064358,-3.4430656,-4.1972976,0.6510701,1.4072893,-1.2466451,11.756375,9.463442
-36.54832,36.541466,60.91832,-32.668434,52.331184,-5.4734674,13.450153,-2.7801766,8.207815,-8.925766,3.9215236,-8.59738,-12.859093,-6.458237,2.3290148,-2.8622227,-10.878744,-4.869996,2.448698,10.031077,-8.677908,5.90732,8.346281,-9.255464,1.0899822,-1.828851,-3.9115882,6.9917345,-2.9128938,-5.2645307,-1.6342474,3.831392,-5.6796823,-5.032896,-6.012831,-0.15309869,-8.477707,-10.221925,4.3852224,-1.659724,-0.02733974,-5.674814,5.2227726,-0.18099259,-4.0576954,0.722005,1.2710575,10.006056,7.629594,1.8910453,14.800516,3.9439323
-43.480434,28.791101,7.7671437,-17.279522,8.536153,-4.8075895,-5.8063445,-4.5493064,3.522472,3.3122058,-4.043672,-9.558086,-4.9280267,-15.084027,-7.088267,-4.592535,-1.677824,11.275108,-5.2593217,3.1082551,-17.102093,-11.743588,9.744311,21.806038,28.790558,25.345854,-13.995633,8.401209,-3.7869267,12.897829,2.3251443,-9.451354,9.100284,11.310828,-6.5043364,6.590462,4.906167,-4.073827,-1.8047991,-2.4355488,1.562821,6.1629324,-5.0351305,-10.7182045,-3.7346642,-1.3974102,8.655822,-5.1219997,-4.2515335,-0.07211363,11.97382,3.1785288
-39.5374,9.500307,-4.029202,2.4568074,-17.466452,-7.0966783,-17.004269,-8.835117,-3.8643053,29.270893,-10.033398,-3.2569852,9.654174,16.775959,-4.477941,16.903755,-5.7261105,-7.650116,1.8146331,2.1919334,6.1650825,3.9652007,6.935662,3.219188,12.004031,-17.87749,-0.1300867,-4.8254886,-15.109706,-0.8343512,-11.6879015,2.7387762,-0.13403526,-7.167512,2.3970208,-20.63514,-1.8823049,-11.275833,-1.5688454,-9.019283,2.067225,9.019734,0.5027787,-3.637575,4.928907,-7.4322267,1.7666941,7.1998305,-4.9080715,1.0803115,10.112367,4.3085675
-53.869473,-38.22882,7.960754,13.515512,9.094178,14.110597,-6.828497,-3.2382982,-4.4194407,-0.9582683,8.590744,6.2864075,1.3163987,-0.13158797,7.457768,-1.5288937,-1.0788411,-0.44836074,-0.04848822,5.59576,-5.6459446,-0.19941558,-7.550461,3.8383913,-5.2948236,-2.1439872,-8.543874,-4.278345,0.3744425,8.379622,4.29854,-5.778012,-8.83217,-3.0657337,-14.952974,-9.521331,9.162377,-3.0523238,0.23174801,-0.59593046,4.351418,11.983802,-3.8905935,17.248552,-0.18181133,-11.256024,4.1757264,-8.703408,11.978179,3.2921574,9.478955,7.6882415
-11.0351925,-97.486626,14.482732,-10.851727,-15.137585,14.005416,-14.762538,9.896438,1.441496,3.2015898,8.29227,-5.518517,1.7640582,3.5240252,4.3141475,-3.1383574,0.7123881,2.4677794,0.9850617,-3.0708354,1.6371684,4.3608665,0.90569633,-1.2083168,3.4780488,2.990364,-0.51271236,5.3131585,0.27459803,-1.371675,-0.36631256,-0.53523386,4.2344007,-1.270358,-1.6803534,1.1727916,-0.38765243,3.9317884,2.428591,0.00781264,-4.08449,1.5506723,1.7989848,1.2734333,3.5741997,-0.27548975,0.80319524,-2.1356468,-2.8621476,-2.3875184,1.9931334,6.056925
