,gene_ids,n_cells
AL627309.1,ENSG00000237683,9
AP006222.2,ENSG00000228463,3
RP11-206L10.2,ENSG00000228327,5
RP11-206L10.9,ENSG00000237491,3
LINC00115,ENSG00000225880,18
NOC2L,ENSG00000188976,258
KLHL17,ENSG00000187961,9
PLEKHN1,ENSG00000187583,7
RP11-54O7.17,ENSG00000272512,3
HES4,ENSG00000188290,145
RP11-54O7.11,ENSG00000224969,4
ISG15,ENSG00000187608,1206
AGRN,ENSG00000188157,8
C1orf159,ENSG00000131591,24
TNFRSF18,ENSG00000186891,92
TNFRSF4,ENSG00000186827,155
SDF4,ENSG00000078808,340
B3GALT6,ENSG00000176022,58
FAM132A,ENSG00000184163,3
UBE2J2,ENSG00000160087,299
ACAP3,ENSG00000131584,63
PUSL1,ENSG00000169972,62
CPSF3L,ENSG00000127054,202
GLTPD1,ENSG00000224051,77
DVL1,ENSG00000107404,5
MXRA8,ENSG00000162576,5
AURKAIP1,ENSG00000175756,770
CCNL2,ENSG00000221978,144
RP4-758J18.2,ENSG00000224870,100
MRPL20,ENSG00000242485,677
ATAD3C,ENSG00000215915,9
ATAD3B,ENSG00000160072,28
ATAD3A,ENSG00000197785,49
SSU72,ENSG00000160075,901
AL645728.1,ENSG00000215014,28
C1orf233,ENSG00000228594,9
RP11-345P4.9,ENSG00000272106,37
MIB2,ENSG00000197530,177
MMP23B,ENSG00000189409,21
CDK11B,ENSG00000248333,62
SLC35E2B,ENSG00000189339,44
CDK11A,ENSG00000008128,164
SLC35E2,ENSG00000215790,16
NADK,ENSG00000008130,125
GNB1,ENSG00000078369,317
RP1-140A9.1,ENSG00000231050,3
TMEM52,ENSG00000178821,3
PRKCZ,ENSG00000067606,34
RP5-892K4.1,ENSG00000271806,10
C1orf86,ENSG00000162585,501
AL590822.2,ENSG00000269554,3
SKI,ENSG00000157933,59
RER1,ENSG00000157916,608
PEX10,ENSG00000157911,34
PLCH2,ENSG00000149527,3
PANK4,ENSG00000157881,57
RP3-395M20.12,ENSG00000272449,165
TNFRSF14,ENSG00000157873,589
RP3-395M20.9,ENSG00000228037,12
FAM213B,ENSG00000157870,38
MMEL1,ENSG00000142606,13
TTC34,ENSG00000215912,4
MEGF6,ENSG00000162591,10
TPRG1L,ENSG00000158109,49
WRAP73,ENSG00000116213,97
TP73-AS1,ENSG00000227372,31
SMIM1,ENSG00000235169,14
LRRC47,ENSG00000130764,120
CEP104,ENSG00000116198,62
DFFB,ENSG00000169598,25
C1orf174,ENSG00000198912,141
NPHP4,ENSG00000131697,11
