,gene_ids,feature_types
MIR1302-2HG,ENSG00000243485,Gene Expression
FAM138A,ENSG00000237613,Gene Expression
OR4F5,ENSG00000186092,Gene Expression
AL627309.1,ENSG00000238009,Gene Expression
AL627309.3,ENSG00000239945,Gene Expression
AL627309.2,ENSG00000239906,Gene Expression
AL627309.4,ENSG00000241599,Gene Expression
AL732372.1,ENSG00000236601,Gene Expression
OR4F29,ENSG00000284733,Gene Expression
AC114498.1,ENSG00000235146,Gene Expression
OR4F16,ENSG00000284662,Gene Expression
AL669831.2,ENSG00000229905,Gene Expression
AL669831.5,ENSG00000237491,Gene Expression
FAM87B,ENSG00000177757,Gene Expression
LINC00115,ENSG00000225880,Gene Expression
FAM41C,ENSG00000230368,Gene Expression
AL645608.7,ENSG00000272438,Gene Expression
AL645608.3,ENSG00000230699,Gene Expression
AL645608.5,ENSG00000241180,Gene Expression
AL645608.1,ENSG00000223764,Gene Expression
SAMD11,ENSG00000187634,Gene Expression
NOC2L,ENSG00000188976,Gene Expression
KLHL17,ENSG00000187961,Gene Expression
PLEKHN1,ENSG00000187583,Gene Expression
PERM1,ENSG00000187642,Gene Expression
AL645608.8,ENSG00000272512,Gene Expression
HES4,ENSG00000188290,Gene Expression
ISG15,ENSG00000187608,Gene Expression
AL645608.2,ENSG00000224969,Gene Expression
AGRN,ENSG00000188157,Gene Expression
AL645608.9,ENSG00000273443,Gene Expression
RNF223,ENSG00000237330,Gene Expression
C1orf159,ENSG00000131591,Gene Expression
LINC01342,ENSG00000223823,Gene Expression
AL390719.2,ENSG00000272141,Gene Expression
TTLL10-AS1,ENSG00000205231,Gene Expression
TTLL10,ENSG00000162571,Gene Expression
TNFRSF18,ENSG00000186891,Gene Expression
TNFRSF4,ENSG00000186827,Gene Expression
SDF4,ENSG00000078808,Gene Expression
B3GALT6,ENSG00000176022,Gene Expression
C1QTNF12,ENSG00000184163,Gene Expression
AL162741.1,ENSG00000260179,Gene Expression
UBE2J2,ENSG00000160087,Gene Expression
LINC01786,ENSG00000230415,Gene Expression
SCNN1D,ENSG00000162572,Gene Expression
ACAP3,ENSG00000131584,Gene Expression
PUSL1,ENSG00000169972,Gene Expression
INTS11,ENSG00000127054,Gene Expression
CPTP,ENSG00000224051,Gene Expression
TAS1R3,ENSG00000169962,Gene Expression
DVL1,ENSG00000107404,Gene Expression
MXRA8,ENSG00000162576,Gene Expression
AURKAIP1,ENSG00000175756,Gene Expression
CCNL2,ENSG00000221978,Gene Expression
MRPL20,ENSG00000242485,Gene Expression
AL391244.3,ENSG00000272455,Gene Expression
ANKRD65,ENSG00000235098,Gene Expression
AL391244.2,ENSG00000225905,Gene Expression
TMEM88B,ENSG00000205116,Gene Expression
LINC01770,ENSG00000225285,Gene Expression
VWA1,ENSG00000179403,Gene Expression
